word,severity,vibe,pos,
appendicular skeleton,2,other,noun,
morphological,1,other,adjective,
BASIC,1,other,noun,
order Mysidacea,2,other,noun,
notornis,3,other,noun,
infernally,4,other,adverb,
vaticinate,2,other,verb,
spirituous,3,other,adjective,
admeasure,3,other,verb,
breakableness,2,other,noun,
steady,2,other,adjective,
swatter,1,other,noun,
gather in,2,other,verb,
occupation,4,other,noun,
post hoc,4,other,noun,
approaching,2,other,noun,
unplumbed,1,other,adjective,
ascending colon,4,other,noun,
peacekeeper,3,other,noun,
Saint John River,1,other,noun,
bang-up,1,other,adjective,
dart player,4,other,noun,
flax rust,3,other,noun,
computed tomography,2,other,noun,
found,3,other,adjective,
nonrational,1,other,adjective,
battlement,3,other,noun,
stegosaur,1,other,noun,
bargain hunter,4,other,noun,
music critic,4,other,noun,
monolingual,1,other,adjective,
order Saprolegniales,1,other,noun,
usurer,4,other,noun,
var.,1,other,noun,
Cyrillic alphabet,1,other,noun,
ancient history,1,other,noun,
genus Tragulus,3,other,noun,
trip line,3,other,noun,
irritable bowel syndrome,3,other,noun,
Gymnomycota,1,other,noun,
capital of Maine,1,other,noun,
intradermal,4,other,adjective,
Felis serval,2,other,noun,
cute,2,other,adjective,
attached,3,other,adjective,
rock geranium,3,other,noun,
rheum,4,other,noun,
fusiform,3,other,adjective,
obsolescent,1,other,adjective,
Noctiluca miliaris,2,other,noun,
gorger,1,other,noun,
interdependency,1,other,noun,
reliably,1,other,adverb,
August F. Mobius,4,other,noun,
hesitate,3,other,verb,
house-trained,2,other,adjective,
Saami,2,other,noun,
NRO,1,other,noun,
deaden,2,other,verb,
mustard family,3,other,noun,
genus Edaphosaurus,4,other,noun,
spinal column,4,other,noun,
telegraph pole,4,other,noun,
Byron,4,other,noun,
NAWCWPNS,2,other,noun,
adamantly,1,other,adverb,
Sermon on the Mount,1,other,noun,
run-of-the-mill,4,other,adjective,
swami,4,other,noun,
margin account,2,other,noun,
civilize,3,other,verb,
Percophidae,4,other,noun,
coltsfoot,2,other,noun,
imminence,1,other,noun,
Acanthocephala,4,other,noun,
caesarean section,2,other,noun,
demurely,3,other,adverb,
corvee,1,other,noun,
jury box,3,other,noun,
Pongidae,3,other,noun,
rancher,3,other,noun,
quarrelsomeness,2,other,noun,
false sarsaparilla,2,other,noun,
mature,4,other,adjective,
business community,1,other,noun,
quarry,3,other,noun,
range finder,1,other,noun,
Platanus wrightii,1,other,noun,
woosh,4,other,verb,
perjure,1,other,verb,
cosmid,4,other,noun,
acrophobia,3,other,noun,
steam iron,4,other,noun,
apomictic,2,other,adjective,
scrotum,3,other,noun,
Moor,1,other,noun,
prerequisite,3,other,noun,
cymule,3,other,noun,
Marian,2,other,adjective,
Fagus americana,4,other,noun,
shoot,1,other,noun,
wand,2,other,noun,
ballroom dancing,1,other,noun,
initiator,1,other,noun,
default option,2,other,noun,
Saint Lucia,1,other,noun,
dentition,3,other,noun,
thunder lizard,1,other,noun,
pole vaulting,3,other,noun,
spectroscopy,2,other,noun,
escape cock,2,other,noun,
accused,3,other,noun,
communication system,1,other,noun,
liquidity crisis,3,other,noun,
prettily,1,other,adverb,
endocervicitis,3,other,noun,
flamboyant,2,other,noun,
vintager,1,other,noun,
easiness,1,other,noun,
Pleurosorus,1,other,noun,
genus Tetraclinis,1,other,noun,
similitude,1,other,noun,
harpooner,4,other,noun,
trainee,2,other,noun,
native pear,3,other,noun,
ramose,1,other,adjective,
masterpiece,2,other,noun,
eulogise,2,other,verb,
hematocele,3,other,noun,
yellow spot fungus,4,other,noun,
hedeoma oil,1,other,noun,
Charioteer,3,other,noun,
Truffaut,2,other,noun,
PiB,3,other,noun,
Schizopoda,2,other,noun,
sex change,3,other,noun,
Jacques Tatischeff,2,other,noun,
Judith Jamison,4,other,noun,
specially,3,other,adverb,
taipan,1,other,noun,
stem lettuce,3,other,noun,
travelling bag,2,other,noun,
conduct,3,other,verb,
bite off,1,other,verb,
monoclinal,2,other,adjective,
taken with,3,other,adjective,
peaceful,3,other,adjective,
dwarf flowering almond,2,other,noun,
Bufo marinus,4,other,noun,
shrimp Newburg,3,other,noun,
Aphrophora saratogensis,4,other,noun,
frightful,4,other,adjective,
bagful,2,other,noun,
decriminalization,1,other,noun,
casement,3,other,noun,
statutory,1,other,adjective,
unkeyed,1,other,adjective,
maple-like,2,other,adjective,
Abdias,1,other,noun,
Tiarella unifoliata,3,other,noun,
integrated,3,other,adjective,
bubble bath,4,other,noun,
dolor,1,other,noun,
Dakar,1,other,noun,
silver tree,4,other,noun,
Negritude,1,other,noun,
saute,3,other,noun,
metastasis,1,other,noun,
High Holiday,3,other,noun,
vegetate,3,other,verb,
samurai,4,other,noun,
dirigible,1,other,noun,
vehicle-borne transmission,4,other,noun,
amount,1,other,verb,
typewrite,4,other,verb,
appal,2,other,verb,
apple tree,3,other,noun,
superannuated,3,other,adjective,
abloom,2,other,adjective,
dilute,3,other,verb,
bitter pea,3,other,noun,
imaging,4,other,noun,
epicanthic fold,2,other,noun,
leatherback turtle,1,other,noun,
sunset,4,other,noun,
isocarboxazid,4,other,noun,
doctor-fish,1,other,noun,
coalpit,2,other,noun,
dulciana,3,other,noun,
inverted pleat,2,other,noun,
Otho I,2,other,noun,
smalleye hammerhead,3,other,noun,
typo,4,other,noun,
apothecaries' ounce,2,other,noun,
countryfolk,4,other,noun,
vulcanise,4,other,verb,
percussion instrument,1,other,noun,
open-heart surgery,2,other,noun,
Rocky Mountain bighorn,2,other,noun,
ThB,4,other,noun,
lemon sole,1,other,noun,
smock,3,other,verb,
tweeter,1,other,noun,
stacte,1,other,noun,
vena choroidea,4,other,noun,
rase,3,other,verb,
climatology,2,other,noun,
silver,4,other,verb,
vasa brevis,3,other,noun,
Hakenkreuz,3,other,noun,
Scottish,3,other,noun,
Ted Shawn,4,other,noun,
frosting,3,other,noun,
lazy Susan,1,other,noun,
Seleucus I Nicator,3,other,noun,
hairpiece,1,other,noun,
inspirer,1,other,noun,
United States dollar,1,other,noun,
socialist economy,1,other,noun,
fifth cranial nerve,1,other,noun,
articular muscle,3,other,noun,
pyralid,3,other,noun,
apperception,2,other,noun,
arraign,1,other,verb,
dried,2,other,adjective,
Commelinaceae,4,other,noun,
Dos Passos,1,other,noun,
Bromus,4,other,noun,
indecent,3,other,adjective,
laundry,4,other,noun,
semicoma,3,other,noun,
radical cell,4,other,noun,
cortege,2,other,noun,
genus Andryala,2,other,noun,
annul,4,other,verb,
inception,4,other,noun,
centromeric,3,other,adjective,
mundaneness,1,other,noun,
porkfish,1,other,noun,
wildflower,3,other,noun,
class Chondrichthyes,3,other,noun,
genus Ictiobus,4,other,noun,
maiden voyage,2,other,noun,
valley fever,3,other,noun,
accord and satisfaction,4,other,noun,
anisometropia,4,other,noun,
picturesqueness,1,other,noun,
European Central Bank,4,other,noun,
fearfully,1,other,adverb,
reward,4,other,noun,
Michael Assat,1,other,noun,
scarabaeid,3,other,noun,
sanguification,3,other,noun,
Hamamelidanthum,1,other,noun,
situation comedy,4,other,noun,
Normandie,2,other,noun,
sidereal day,1,other,noun,
magnetic dipole moment,4,other,noun,
crystal detector,2,other,noun,
immune response,1,other,noun,
topgallant mast,2,other,noun,
lifeboat,1,other,noun,
lithograph,3,other,noun,
Judaea,4,other,noun,
day lily,2,other,noun,
stout,1,other,noun,
not to mention,4,other,adverb,
eyeglass wearer,2,other,noun,
kicking,2,other,noun,
sympathetic vibration,2,other,noun,
cornelian,2,other,noun,
bring down,2,other,verb,
helper cell,3,other,noun,
avitaminosis,2,other,noun,
white out,3,other,verb,
goat god,2,other,noun,
areola,3,other,noun,
Mount Tacoma,3,other,noun,
endeavour,4,other,noun,
lead-acid accumulator,4,other,noun,
Baptist,4,other,noun,
asper,4,other,noun,
Kingdom of Saudi Arabia,1,other,noun,
cradlesong,3,other,noun,
Cimicifuga americana,2,other,noun,
Testudo,2,other,noun,
Sergei Eisenstein,1,other,noun,
hedge nettle,2,other,noun,
Entelea,2,other,noun,
grume,2,other,noun,
salad bar,4,other,noun,
suburb,3,other,noun,
Gidar,3,other,noun,
flag smut fungus,3,other,noun,
defilement,1,other,noun,
repudiative,1,other,adjective,
second-in-command,1,other,noun,
snow chain,1,other,noun,
harpooneer,4,other,noun,
exocrine,1,other,noun,
National Rifle Association,3,other,noun,
bureaucratically,3,other,adverb,
genus Cinnamomum,4,other,noun,
hesitancy,1,other,noun,
Recife,4,other,noun,
billiard player,2,other,noun,
mutagen,2,other,noun,
Pyralididae,3,other,noun,
cervical vertebra,2,other,noun,
outperform,2,other,verb,
dolphin,2,other,noun,
Vouvray,4,other,noun,
insider information,3,other,noun,
sayonara,2,other,noun,
Queen of England,1,other,noun,
family Morchellaceae,3,other,noun,
precognition,1,other,noun,
dermatomyositis,1,other,noun,
leresis,4,other,noun,
measurability,2,other,noun,
Michener,4,other,noun,
gobble,1,other,verb,
electrostatically,2,other,adverb,
theater,1,other,noun,
Carl XVI Gustaf,4,other,noun,
Domingo,2,other,noun,
lateral ventricle,2,other,noun,
brunet,1,other,adjective,
family Carcharhinidae,4,other,noun,
Agnes George de Mille,1,other,noun,
milliped,2,other,noun,
visual percept,3,other,noun,
angiospermous yellowwood,1,other,noun,
Welsh poppy,1,other,noun,
slumbery,4,other,adjective,
she-devil,1,other,noun,
tutorial,4,other,adjective,
genus Lunda,2,other,noun,
house of worship,1,other,noun,
mathematical product,3,other,noun,
operational casualty,1,other,noun,
unseemly,1,other,adjective,
exit,4,other,noun,
kindergarten,2,other,noun,
bee beetle,1,other,noun,
Alaskan,2,other,adjective,
ascendent,2,other,noun,
panorama,3,other,noun,
psychoanalyze,2,other,verb,
swap file,1,other,noun,
fulfilled,3,other,adjective,
reinforcement,3,other,noun,
gas pedal,1,other,noun,
Securities and Exchange Commission,3,other,noun,
behave,3,other,verb,
Shah of Iran,4,other,noun,
DiaBeta,3,other,noun,
Spondias,3,other,noun,
wind gauge,2,other,noun,
Sassenach,1,other,noun,
readjustment,4,other,noun,
Chou En-lai,2,other,noun,
Secretary of Labor,2,other,noun,
Trachinotus carolinus,1,other,noun,
Potsdam,1,other,noun,
slingback,2,other,noun,
pause,3,other,noun,
businesspeople,4,other,noun,
Ferrara,3,other,noun,
overjealous,4,other,adjective,
lat,1,other,noun,
second-guess,4,other,verb,
griping,1,other,noun,
Heavenly City,3,other,noun,
revery,2,other,noun,
woodsy,1,other,adjective,
blood plasma,3,other,noun,
noma,1,other,noun,
phase modulation,1,other,noun,
olden,1,other,adjective,
cyberculture,2,other,noun,
hula,4,other,noun,
dilapidated,4,other,adjective,
deconstruction,2,other,noun,
business address,1,other,noun,
time-scale factor,4,other,noun,
tread down,4,other,verb,
Dutchman,3,other,noun,
ace of hearts,3,other,noun,
chestnut blight,3,other,noun,
swob,4,other,noun,
bibliographic,3,other,adjective,
beta cell,3,other,noun,
Oaxaca de Juarez,3,other,noun,
forint,1,other,noun,
directive,4,other,adjective,
Maryland yellowthroat,1,other,noun,
ugliness,2,other,noun,
activate,4,other,verb,
toilet articles,1,other,noun,
subtotal,2,other,noun,
cyanamide,3,other,noun,
dysplasia,2,other,noun,
win,1,other,verb,
high-rise,2,other,adjective,
aleph-nought,1,other,noun,
rebellion,2,other,noun,
yashmak,3,other,noun,
immodestly,3,other,adverb,
blue racer,3,other,noun,
planet wheel,3,other,noun,
deaf-muteness,3,other,noun,
wittiness,1,other,noun,
Menticirrhus saxatilis,4,other,noun,
mucopolysaccharide,3,other,noun,
gimpy,2,other,adjective,
commune,4,other,verb,
electronic countermeasures,1,other,noun,
tall yellow-eye,4,other,noun,
dub,2,other,noun,
enduringness,4,other,noun,
potato yellow-dwarf virus,1,other,noun,
Belgian griffon,1,other,noun,
bilabial,4,other,adjective,
cube-shaped,2,other,adjective,
work on,3,other,verb,
pharisaic,4,other,adjective,
coastwise,3,other,adverb,
wrist watch,2,other,noun,
Hebrew calendar,3,other,noun,
water plantain,4,other,noun,
spokesman,1,other,noun,
Anthonomus,4,other,noun,
Zane Grey,4,other,noun,
silver fir,1,other,noun,
medivac,2,other,noun,
socialisation,2,other,noun,
Kalmia latifolia,3,other,noun,
Alpine anemone,4,other,noun,
Moussorgsky,3,other,noun,
family Gobiidae,1,other,noun,
malvasia,3,other,noun,
protohistory,3,other,noun,
coadjutor,3,other,noun,
pine,4,other,verb,
refresher course,4,other,noun,
centralist,4,other,adjective,
side judge,1,other,noun,
dressmaker,4,other,noun,
B-girl,3,other,noun,
occlusion,2,other,noun,
Fritz Kreisler,4,other,noun,
extra time,4,other,noun,
vice chancellor,3,other,noun,
Sorghum halepense,4,other,noun,
zoom in,3,other,verb,
reformation,3,other,noun,
funnel,2,other,verb,
no-hitter,1,other,noun,
doom,1,other,noun,
putrid,4,other,adjective,
presuppose,3,other,verb,
bloodwort family,3,other,noun,
undiscouraged,2,other,adjective,
uraturia,3,other,noun,
bust,2,other,verb,
airgun,2,other,noun,
nudeness,1,other,noun,
pay out,2,other,verb,
Chaldaean,3,other,noun,
Chrysophyllum oliviforme,3,other,noun,
percolation,4,other,noun,
Mandarin Chinese,1,other,noun,
Morgan,4,other,noun,
egg yolk,4,other,noun,
Hell's Kitchen,4,other,noun,
scrub up,2,other,verb,
Macleaya,2,other,noun,
forbear,1,other,verb,
genus Larix,4,other,noun,
ruggedisation,1,other,noun,
hairless,4,other,adjective,
phylogeny,1,other,noun,
lysogeny,4,other,noun,
shy,3,other,noun,
hepatic tanager,4,other,noun,
Reiter's syndrome,1,other,noun,
moppet,3,other,noun,
thread,3,other,noun,
collins,3,other,noun,
Sea Scout,3,other,noun,
legged,1,other,adjective,
drumbeater,4,other,noun,
suck in,2,other,verb,
silva,3,other,noun,
for the first time,4,other,adverb,
Macadamia ternifolia,3,other,noun,
genus Odontaspis,3,other,noun,
eared seal,3,other,noun,
Avicenna,1,other,noun,
Orites,4,other,noun,
simvastatin,4,other,noun,
inquisitorial,1,other,adjective,
Varna,2,other,noun,
whatever,3,other,adjective,
man hour,2,other,noun,
unpretentiously,2,other,adverb,
pianissimo,3,other,adverb,
technological,1,other,adjective,
nitrous oxide,2,other,noun,
leaping,4,other,noun,
field maple,3,other,noun,
off-white,3,other,noun,
unpopular,2,other,adjective,
strongly,3,other,adverb,
nutrient agar,4,other,noun,
national anthem,1,other,noun,
genus Hydrastis,3,other,noun,
priest-penitent privilege,4,other,noun,
Polistes,1,other,noun,
Orobanchaceae,3,other,noun,
Byelarus,1,other,noun,
minister of religion,4,other,noun,
gin,4,other,verb,
acquittance,1,other,noun,
phosphatase,3,other,noun,
au gratin,2,other,adjective,
unbranching,3,other,adjective,
unblended,3,other,adjective,
maker,3,other,noun,
Disney,2,other,noun,
genus Alstroemeria,3,other,noun,
Riparia,4,other,noun,
state of the art,3,other,noun,
intermediate wheatgrass,3,other,noun,
Tigris,1,other,noun,
bog down,2,other,verb,
card,4,other,noun,
genus Steatornis,3,other,noun,
cheesemonger,4,other,noun,
EPA,1,other,noun,
embankment,4,other,noun,
T hinge,1,other,noun,
Guinea pepper,4,other,noun,
zizz,3,other,noun,
woodenness,2,other,noun,
Scomberesocidae,1,other,noun,
profit-and-loss statement,3,other,noun,
Antarctic Ocean,2,other,noun,
Nehemiah,3,other,noun,
genus Cibotium,4,other,noun,
dolphin oil,2,other,noun,
family Triakidae,4,other,noun,
strong-flavored,3,other,adjective,
grass-leaved golden aster,3,other,noun,
isolating,1,other,adjective,
Kiggelaria africana,4,other,noun,
interlocutory injunction,2,other,noun,
advertiser,2,other,noun,
plexus brachialis,1,other,noun,
inconceivability,1,other,noun,
incorporeality,4,other,noun,
Carya,4,other,noun,
Church Slavic,4,other,noun,
Royal Society,1,other,noun,
black-and-tan terrier,1,other,noun,
red porgy,4,other,noun,
absorbent,3,other,adjective,
Asparagus plumosus,3,other,noun,
detect,4,other,verb,
murder conviction,4,other,noun,
Stephanotis floribunda,2,other,noun,
walky-talky,1,other,noun,
saved,1,other,adjective,
genus Chrysolophus,2,other,noun,
rap group,3,other,noun,
theist,2,other,noun,
kaoliang,4,other,noun,
grappling,1,other,noun,
patching,4,other,noun,
flexible sigmoidoscope,2,other,noun,
osteosclerosis,4,other,noun,
coenzyme Q,1,other,noun,
shaven,4,other,adjective,
displeasure,1,other,noun,
sol,4,other,noun,
salutatory speaker,3,other,noun,
haggle,2,other,verb,
algebraically,4,other,adverb,
voussoir,3,other,noun,
unimaginatively,3,other,adverb,
mislay,4,other,verb,
declassification,3,other,noun,
softened,3,other,adjective,
annelid worm,4,other,noun,
Asurbanipal,4,other,noun,
cautery,2,other,noun,
Acrocephalus schoenobaenus,4,other,noun,
betrothed,4,other,adjective,
cinnamon bread,4,other,noun,
class Deuteromycetes,4,other,noun,
quadripartite,2,other,adjective,
for that matter,1,other,adverb,
low-water mark,4,other,noun,
scrubbing brush,2,other,noun,
forty-second,1,other,adjective,
healthcare,3,other,noun,
athar,4,other,noun,
westerner,4,other,noun,
clinical test,2,other,noun,
foetor,4,other,noun,
meeter,1,other,noun,
Cephalanthera,2,other,noun,
unmalleability,1,other,noun,
couthy,4,other,adjective,
doge,3,other,noun,
defensive,3,other,adjective,
euphonic,1,other,adjective,
Carissa grandiflora,3,other,noun,
identity theft,4,other,noun,
International System,1,other,noun,
Pseudacris,3,other,noun,
humdinger,1,other,noun,
Sir Thomas More,4,other,noun,
off-guard,2,other,adjective,
lacrimal artery,2,other,noun,
El Qahira,1,other,noun,
broth of a boy,3,other,noun,
patella,2,other,noun,
taboo,2,other,adjective,
vouch,2,other,verb,
wild cabbage,1,other,noun,
Sierra redwood,2,other,noun,
phratry,1,other,noun,
class Filicinae,4,other,noun,
keystone,2,other,noun,
Ipomoea nil,2,other,noun,
proceed,3,other,verb,
understudy,2,other,noun,
definition,2,other,noun,
hexadecimal digit,3,other,noun,
musk-scented,2,other,adjective,
moon-round,2,other,adjective,
substandard,1,other,adjective,
Kandahar,4,other,noun,
exerciser,3,other,noun,
caducous,1,other,adjective,
household appliance,4,other,noun,
office block,1,other,noun,
osmiridium,3,other,noun,
spandex,2,other,noun,
nitpicker,2,other,noun,
Paul John Flory,2,other,noun,
keen,4,other,verb,
quadratic equation,1,other,noun,
genus Carduus,1,other,noun,
driftwood,2,other,noun,
spurious wing,3,other,noun,
Lycopodiaceae,1,other,noun,
Star Chamber,2,other,noun,
teacher,3,other,noun,
services,3,other,noun,
ane,1,other,adjective,
Sylvian aqueduct,3,other,noun,
recovering,2,other,adjective,
Adapid,1,other,noun,
automatic,1,other,noun,
isoagglutination,1,other,noun,
reappraise,1,other,verb,
bodice ripper,4,other,noun,
Kepler's law of planetary motion,2,other,noun,
sudation,3,other,noun,
Jerez de la Frontera,2,other,noun,
Sam Houston,1,other,noun,
pragmatic,1,other,noun,
can,2,other,noun,
barbette,3,other,noun,
unattainably,4,other,adverb,
Gambusia affinis,1,other,noun,
Scomberomorus cavalla,1,other,noun,
miasmic,1,other,adjective,
Microsorium punctatum,1,other,noun,
snuff-colour,1,other,noun,
unkindness,1,other,noun,
ribbon snake,1,other,noun,
glance over,2,other,verb,
shamble,4,other,verb,
eudaemonic,4,other,adjective,
sentient,2,other,adjective,
Juniperus virginiana,1,other,noun,
row of bricks,2,other,noun,
easygoingness,1,other,noun,
Saratoga Springs,3,other,noun,
thieve,4,other,verb,
genus Trichodesmium,4,other,noun,
affective,3,other,adjective,
Glenn,3,other,noun,
musical score,4,other,noun,
comfort zone,4,other,noun,
Athyrium pycnocarpon,2,other,noun,
flushed,3,other,adjective,
sodium hydroxide,4,other,noun,
genus Necturus,2,other,noun,
Kalon Tripa,1,other,noun,
feature,1,other,noun,
wont,1,other,noun,
red haw,3,other,noun,
sourwood,1,other,noun,
waggle,1,other,verb,
seasonal adjustment,1,other,noun,
incident,2,other,adjective,
root,3,other,noun,
god-fearing,1,other,adjective,
perfumed,4,other,adjective,
genus Atrichornis,4,other,noun,
Geranium pratense,3,other,noun,
Oregonian,3,other,noun,
sword of Damocles,4,other,noun,
paralysis,3,other,noun,
football helmet,4,other,noun,
rankness,3,other,noun,
suspiration,1,other,noun,
pip,4,other,verb,
exciseman,3,other,noun,
coughing,2,other,noun,
breast-deep,4,other,adverb,
top hat,3,other,noun,
Anogramma,3,other,noun,
promptbook,2,other,noun,
Bela Lugosi,3,other,noun,
indefatigably,4,other,adverb,
covered smut,2,other,noun,
swear,1,other,verb,
3-hitter,1,other,noun,
topical anaesthesia,1,other,noun,
George Wells Beadle,1,other,noun,
overclothes,1,other,noun,
land up,4,other,verb,
luck out,2,other,verb,
immaturity,3,other,noun,
Louis the German,2,other,noun,
sidle up,3,other,verb,
contradance,4,other,noun,
pistillate,1,other,adjective,
Boston rocker,2,other,noun,
aphanitic,3,other,adjective,
electoral,2,other,adjective,
cape jessamine,4,other,noun,
Arnoseris,4,other,noun,
genus Gomphrena,3,other,noun,
invention,4,other,noun,
respecter,1,other,noun,
cockamamie,2,other,adjective,
Pegasus,2,other,noun,
Scheldt River,3,other,noun,
magnoliopsid family,2,other,noun,
Vitus,3,other,noun,
Bering Standard Time,2,other,noun,
nosebag,2,other,noun,
Bayt Lahm,1,other,noun,
speed indicator,2,other,noun,
rissole,1,other,noun,
hyperglycemia,2,other,noun,
Cyprinus,4,other,noun,
clawhammer,1,other,noun,
Yom Kippur,3,other,noun,
Centropristis philadelphica,3,other,noun,
grey-pink,3,other,adjective,
capital of Nebraska,2,other,noun,
participate,1,other,verb,
sculler,4,other,noun,
totara,4,other,noun,
sage brush,1,other,noun,
grace note,3,other,noun,
blank verse,1,other,noun,
political sympathies,2,other,noun,
eater,2,other,noun,
bearer bond,1,other,noun,
Goldwyn,3,other,noun,
Philip V,3,other,noun,
thirty-two,3,other,adjective,
atomic number 64,4,other,noun,
Didelphis,1,other,noun,
Van Allen belt,2,other,noun,
notch,2,other,verb,
nicker,2,other,noun,
Wolverine State,4,other,noun,
horseback riding,1,other,noun,
venture capitalist,4,other,noun,
hide and go seek,1,other,noun,
thermosetting compositions,2,other,noun,
dry unit,1,other,noun,
railroad engineer,1,other,noun,
many-sided,2,other,adjective,
staff vine,3,other,noun,
genus Noctua,3,other,noun,
Jakob Liebmann Beer,4,other,noun,
worrisome,1,other,adjective,
Swiss,2,other,noun,
hygrophytic,4,other,adjective,
Havana,3,other,noun,
Sabbatarian,2,other,adjective,
full cousin,1,other,noun,
acidic hydrogen,1,other,noun,
Plethodon,4,other,noun,
knockoff,2,other,noun,
bodily,1,other,adverb,
karyotype,3,other,noun,
golf bag,3,other,noun,
Halenia,2,other,noun,
pan roast,3,other,verb,
mashie,1,other,noun,
Slovakian monetary unit,4,other,noun,
antithetic,3,other,adjective,
sneer,3,other,noun,
olibanum,3,other,noun,
de facto,4,other,adverb,
callosotomy,1,other,noun,
Anapurna,2,other,noun,
Scophthalmus rhombus,3,other,noun,
Tanacetum douglasii,3,other,noun,
genus Calypso,2,other,noun,
ebony,1,other,noun,
bay,3,other,adjective,
cant dog,1,other,noun,
primum mobile,4,other,noun,
longan,4,other,noun,
undercover work,2,other,noun,
sweetness and light,2,other,noun,
chicha,4,other,noun,
endarterectomy,1,other,noun,
American badger,3,other,noun,
waste basket,4,other,noun,
scratch paper,2,other,noun,
ratatouille,1,other,noun,
casket,3,other,verb,
PO Box No,3,other,noun,
horse pistol,1,other,noun,
bran-new,1,other,adjective,
civic pride,2,other,noun,
carting,1,other,noun,
off,4,other,adjective,
Nothosauria,1,other,noun,
three-way calling,3,other,noun,
flighty,4,other,adjective,
jeweler's loupe,4,other,noun,
Sabahan,2,other,adjective,
frowzy,4,other,adjective,
overutilization,3,other,noun,
blae,3,other,adjective,
genus Gypaetus,2,other,noun,
inattentiveness,1,other,noun,
peritrichous,2,other,adjective,
genus Desmidium,4,other,noun,
Acer campestre,2,other,noun,
dogwood tree,4,other,noun,
wall tent,3,other,noun,
Euphorbia lathyris,1,other,noun,
fire-wheel,1,other,noun,
Passover supper,4,other,noun,
feculence,2,other,noun,
