word,severity,vibe,pos
specially,3,random,adverb
taipan,1,random,noun
stem lettuce,3,random,noun
travelling bag,2,random,noun
conduct,3,random,verb
bite off,1,random,verb
monoclinal,2,random,adjective
taken with,3,random,adjective
peaceful,3,random,adjective
dwarf flowering almond,2,random,noun
Bufo marinus,4,random,noun
shrimp Newburg,3,random,noun
Aphrophora saratogensis,4,random,noun
frightful,4,random,adjective
bagful,2,random,noun
decriminalization,1,random,noun
casement,3,random,noun
statutory,1,random,adjective
unkeyed,1,random,adjective
maple-like,2,random,adjective
Abdias,1,random,noun
Tiarella unifoliata,3,random,noun
integrated,3,random,adjective
bubble bath,4,random,noun
dolor,1,random,noun
Dakar,1,random,noun
silver tree,4,random,noun
Negritude,1,random,noun
saute,3,random,noun
metastasis,1,random,noun
High Holiday,3,random,noun
vegetate,3,random,verb
samurai,4,random,noun
dirigible,1,random,noun
vehicle-borne transmission,4,random,noun
amount,1,random,verb
typewrite,4,random,verb
appal,2,random,verb
apple tree,3,random,noun
superannuated,3,random,adjective
abloom,2,random,adjective
dilute,3,random,verb
bitter pea,3,random,noun
imaging,4,random,noun
epicanthic fold,2,random,noun
leatherback turtle,1,random,noun
sunset,4,random,noun
isocarboxazid,4,random,noun
doctor-fish,1,random,noun
coalpit,2,random,noun
dulciana,3,random,noun
inverted pleat,2,random,noun
Otho I,2,random,noun
smalleye hammerhead,3,random,noun
typo,4,random,noun
apothecaries' ounce,2,random,noun
countryfolk,4,random,noun
vulcanise,4,random,verb
percussion instrument,1,random,noun
open-heart surgery,2,random,noun
Rocky Mountain bighorn,2,random,noun
ThB,4,random,noun
lemon sole,1,random,noun
smock,3,random,verb
tweeter,1,random,noun
stacte,1,random,noun
vena choroidea,4,random,noun
rase,3,random,verb
climatology,2,random,noun
silver,4,random,verb
vasa brevis,3,random,noun
Hakenkreuz,3,random,noun
Scottish,3,random,noun
Ted Shawn,4,random,noun
frosting,3,random,noun
lazy Susan,1,random,noun
Seleucus I Nicator,3,random,noun
hairpiece,1,random,noun
inspirer,1,random,noun
United States dollar,1,random,noun
socialist economy,1,random,noun
fifth cranial nerve,1,random,noun
articular muscle,3,random,noun
pyralid,3,random,noun
apperception,2,random,noun
arraign,1,random,verb
dried,2,random,adjective
Commelinaceae,4,random,noun
Dos Passos,1,random,noun
Bromus,4,random,noun
indecent,3,random,adjective
laundry,4,random,noun
semicoma,3,random,noun
radical cell,4,random,noun
cortege,2,random,noun
genus Andryala,2,random,noun
annul,4,random,verb
inception,4,random,noun
centromeric,3,random,adjective
mundaneness,1,random,noun
porkfish,1,random,noun
wildflower,3,random,noun
class Chondrichthyes,3,random,noun
genus Ictiobus,4,random,noun
maiden voyage,2,random,noun
valley fever,3,random,noun
accord and satisfaction,4,random,noun
anisometropia,4,random,noun
picturesqueness,1,random,noun
European Central Bank,4,random,noun
fearfully,1,random,adverb
reward,4,random,noun
Michael Assat,1,random,noun
scarabaeid,3,random,noun
sanguification,3,random,noun
Hamamelidanthum,1,random,noun
situation comedy,4,random,noun
Normandie,2,random,noun
sidereal day,1,random,noun
magnetic dipole moment,4,random,noun
crystal detector,2,random,noun
immune response,1,random,noun
topgallant mast,2,random,noun
lifeboat,1,random,noun
lithograph,3,random,noun
Judaea,4,random,noun
day lily,2,random,noun
stout,1,random,noun
not to mention,4,random,adverb
eyeglass wearer,2,random,noun
kicking,2,random,noun
sympathetic vibration,2,random,noun
cornelian,2,random,noun
bring down,2,random,verb
helper cell,3,random,noun
avitaminosis,2,random,noun
white out,3,random,verb
goat god,2,random,noun
areola,3,random,noun
Mount Tacoma,3,random,noun
endeavour,4,random,noun
lead-acid accumulator,4,random,noun
Baptist,4,random,noun
asper,4,random,noun
Kingdom of Saudi Arabia,1,random,noun
cradlesong,3,random,noun
Cimicifuga americana,2,random,noun
Testudo,2,random,noun
Sergei Eisenstein,1,random,noun
hedge nettle,2,random,noun
Entelea,2,random,noun
grume,2,random,noun
salad bar,4,random,noun
suburb,3,random,noun
Gidar,3,random,noun
flag smut fungus,3,random,noun
defilement,1,random,noun
repudiative,1,random,adjective
second-in-command,1,random,noun
snow chain,1,random,noun
harpooneer,4,random,noun
exocrine,1,random,noun
National Rifle Association,3,random,noun
bureaucratically,3,random,adverb
genus Cinnamomum,4,random,noun
hesitancy,1,random,noun
Recife,4,random,noun
billiard player,2,random,noun
mutagen,2,random,noun
Pyralididae,3,random,noun
cervical vertebra,2,random,noun
outperform,2,random,verb
dolphin,2,random,noun
Vouvray,4,random,noun
insider information,3,random,noun
sayonara,2,random,noun
Queen of England,1,random,noun
family Morchellaceae,3,random,noun
precognition,1,random,noun
dermatomyositis,1,random,noun
leresis,4,random,noun
measurability,2,random,noun
Michener,4,random,noun
gobble,1,random,verb
electrostatically,2,random,adverb
theater,1,random,noun
Carl XVI Gustaf,4,random,noun
Domingo,2,random,noun
lateral ventricle,2,random,noun
brunet,1,random,adjective
family Carcharhinidae,4,random,noun
Agnes George de Mille,1,random,noun
milliped,2,random,noun
visual percept,3,random,noun
angiospermous yellowwood,1,random,noun
Welsh poppy,1,random,noun
slumbery,4,random,adjective
she-devil,1,random,noun
tutorial,4,random,adjective
genus Lunda,2,random,noun
house of worship,1,random,noun
mathematical product,3,random,noun
operational casualty,1,random,noun
unseemly,1,random,adjective
exit,4,random,noun
kindergarten,2,random,noun
bee beetle,1,random,noun
Alaskan,2,random,adjective
ascendent,2,random,noun
panorama,3,random,noun
psychoanalyze,2,random,verb
swap file,1,random,noun
fulfilled,3,random,adjective
reinforcement,3,random,noun
gas pedal,1,random,noun
Securities and Exchange Commission,3,random,noun
behave,3,random,verb
Shah of Iran,4,random,noun
DiaBeta,3,random,noun
Spondias,3,random,noun
wind gauge,2,random,noun
Sassenach,1,random,noun
readjustment,4,random,noun
Chou En-lai,2,random,noun
Secretary of Labor,2,random,noun
Trachinotus carolinus,1,random,noun
Potsdam,1,random,noun
slingback,2,random,noun
pause,3,random,noun
businesspeople,4,random,noun
Ferrara,3,random,noun
overjealous,4,random,adjective
lat,1,random,noun
second-guess,4,random,verb
griping,1,random,noun
Heavenly City,3,random,noun
revery,2,random,noun
woodsy,1,random,adjective
blood plasma,3,random,noun
noma,1,random,noun
phase modulation,1,random,noun
olden,1,random,adjective
cyberculture,2,random,noun
hula,4,random,noun
dilapidated,4,random,adjective
deconstruction,2,random,noun
business address,1,random,noun
time-scale factor,4,random,noun
tread down,4,random,verb
Dutchman,3,random,noun
ace of hearts,3,random,noun
chestnut blight,3,random,noun
swob,4,random,noun
bibliographic,3,random,adjective
beta cell,3,random,noun
Oaxaca de Juarez,3,random,noun
forint,1,random,noun
directive,4,random,adjective
Maryland yellowthroat,1,random,noun
ugliness,2,random,noun
activate,4,random,verb
toilet articles,1,random,noun
subtotal,2,random,noun
cyanamide,3,random,noun
dysplasia,2,random,noun
win,1,random,verb
high-rise,2,random,adjective
aleph-nought,1,random,noun
rebellion,2,random,noun
yashmak,3,random,noun
immodestly,3,random,adverb
blue racer,3,random,noun
planet wheel,3,random,noun
deaf-muteness,3,random,noun
wittiness,1,random,noun
Menticirrhus saxatilis,4,random,noun
mucopolysaccharide,3,random,noun
gimpy,2,random,adjective
commune,4,random,verb
electronic countermeasures,1,random,noun
tall yellow-eye,4,random,noun
dub,2,random,noun
enduringness,4,random,noun
potato yellow-dwarf virus,1,random,noun
Belgian griffon,1,random,noun
bilabial,4,random,adjective
cube-shaped,2,random,adjective
work on,3,random,verb
pharisaic,4,random,adjective
coastwise,3,random,adverb
wrist watch,2,random,noun
Hebrew calendar,3,random,noun
water plantain,4,random,noun
spokesman,1,random,noun
Anthonomus,4,random,noun
Zane Grey,4,random,noun
silver fir,1,random,noun
medivac,2,random,noun
socialisation,2,random,noun
Kalmia latifolia,3,random,noun
Alpine anemone,4,random,noun
Moussorgsky,3,random,noun
family Gobiidae,1,random,noun
malvasia,3,random,noun
protohistory,3,random,noun
coadjutor,3,random,noun
pine,4,random,verb
refresher course,4,random,noun
centralist,4,random,adjective
side judge,1,random,noun
dressmaker,4,random,noun
B-girl,3,random,noun
occlusion,2,random,noun
Fritz Kreisler,4,random,noun
extra time,4,random,noun
vice chancellor,3,random,noun
Sorghum halepense,4,random,noun
zoom in,3,random,verb
reformation,3,random,noun
funnel,2,random,verb
no-hitter,1,random,noun
doom,1,random,noun
putrid,4,random,adjective
presuppose,3,random,verb
bloodwort family,3,random,noun
undiscouraged,2,random,adjective
uraturia,3,random,noun
bust,2,random,verb
airgun,2,random,noun
nudeness,1,random,noun
pay out,2,random,verb
Chaldaean,3,random,noun
Chrysophyllum oliviforme,3,random,noun
percolation,4,random,noun
Mandarin Chinese,1,random,noun
Morgan,4,random,noun
egg yolk,4,random,noun
Hell's Kitchen,4,random,noun
scrub up,2,random,verb
Macleaya,2,random,noun
forbear,1,random,verb
genus Larix,4,random,noun
ruggedisation,1,random,noun
hairless,4,random,adjective
phylogeny,1,random,noun
lysogeny,4,random,noun
shy,3,random,noun
hepatic tanager,4,random,noun
Reiter's syndrome,1,random,noun
moppet,3,random,noun
thread,3,random,noun
collins,3,random,noun
Sea Scout,3,random,noun
legged,1,random,adjective
drumbeater,4,random,noun
suck in,2,random,verb
silva,3,random,noun
for the first time,4,random,adverb
Macadamia ternifolia,3,random,noun
genus Odontaspis,3,random,noun
eared seal,3,random,noun
Avicenna,1,random,noun
Orites,4,random,noun
simvastatin,4,random,noun
inquisitorial,1,random,adjective
Varna,2,random,noun
whatever,3,random,adjective
man hour,2,random,noun
unpretentiously,2,random,adverb
pianissimo,3,random,adverb
technological,1,random,adjective
nitrous oxide,2,random,noun
leaping,4,random,noun
field maple,3,random,noun
off-white,3,random,noun
unpopular,2,random,adjective
strongly,3,random,adverb
nutrient agar,4,random,noun
national anthem,1,random,noun
genus Hydrastis,3,random,noun
priest-penitent privilege,4,random,noun
Polistes,1,random,noun
Orobanchaceae,3,random,noun
Byelarus,1,random,noun
minister of religion,4,random,noun
gin,4,random,verb
acquittance,1,random,noun
phosphatase,3,random,noun
au gratin,2,random,adjective
unbranching,3,random,adjective
unblended,3,random,adjective
maker,3,random,noun
Disney,2,random,noun
genus Alstroemeria,3,random,noun
Riparia,4,random,noun
state of the art,3,random,noun
intermediate wheatgrass,3,random,noun
Tigris,1,random,noun
bog down,2,random,verb
card,4,random,noun
genus Steatornis,3,random,noun
cheesemonger,4,random,noun
EPA,1,random,noun
embankment,4,random,noun
T hinge,1,random,noun
Guinea pepper,4,random,noun
zizz,3,random,noun
woodenness,2,random,noun
Scomberesocidae,1,random,noun
profit-and-loss statement,3,random,noun
Antarctic Ocean,2,random,noun
Nehemiah,3,random,noun
genus Cibotium,4,random,noun
dolphin oil,2,random,noun
family Triakidae,4,random,noun
strong-flavored,3,random,adjective
grass-leaved golden aster,3,random,noun
isolating,1,random,adjective
Kiggelaria africana,4,random,noun
interlocutory injunction,2,random,noun
advertiser,2,random,noun
plexus brachialis,1,random,noun
inconceivability,1,random,noun
incorporeality,4,random,noun
Carya,4,random,noun
Church Slavic,4,random,noun
Royal Society,1,random,noun
black-and-tan terrier,1,random,noun
red porgy,4,random,noun
absorbent,3,random,adjective
Asparagus plumosus,3,random,noun
detect,4,random,verb
murder conviction,4,random,noun
Stephanotis floribunda,2,random,noun
walky-talky,1,random,noun
saved,1,random,adjective
genus Chrysolophus,2,random,noun
rap group,3,random,noun
theist,2,random,noun
kaoliang,4,random,noun
grappling,1,random,noun
patching,4,random,noun
flexible sigmoidoscope,2,random,noun
osteosclerosis,4,random,noun
coenzyme Q,1,random,noun
shaven,4,random,adjective
displeasure,1,random,noun
sol,4,random,noun
salutatory speaker,3,random,noun
haggle,2,random,verb
algebraically,4,random,adverb
voussoir,3,random,noun
unimaginatively,3,random,adverb
mislay,4,random,verb
declassification,3,random,noun
softened,3,random,adjective
annelid worm,4,random,noun
Asurbanipal,4,random,noun
cautery,2,random,noun
Acrocephalus schoenobaenus,4,random,noun
betrothed,4,random,adjective
cinnamon bread,4,random,noun
class Deuteromycetes,4,random,noun
quadripartite,2,random,adjective
for that matter,1,random,adverb
low-water mark,4,random,noun
scrubbing brush,2,random,noun
forty-second,1,random,adjective
healthcare,3,random,noun
athar,4,random,noun
westerner,4,random,noun
clinical test,2,random,noun
foetor,4,random,noun
meeter,1,random,noun
Cephalanthera,2,random,noun
unmalleability,1,random,noun
couthy,4,random,adjective
doge,3,random,noun
defensive,3,random,adjective
euphonic,1,random,adjective
Carissa grandiflora,3,random,noun
identity theft,4,random,noun
International System,1,random,noun
Pseudacris,3,random,noun
humdinger,1,random,noun
Sir Thomas More,4,random,noun
off-guard,2,random,adjective
lacrimal artery,2,random,noun
El Qahira,1,random,noun
broth of a boy,3,random,noun
patella,2,random,noun
taboo,2,random,adjective
vouch,2,random,verb
wild cabbage,1,random,noun
Sierra redwood,2,random,noun
phratry,1,random,noun
class Filicinae,4,random,noun
keystone,2,random,noun
Ipomoea nil,2,random,noun
proceed,3,random,verb
understudy,2,random,noun
definition,2,random,noun
hexadecimal digit,3,random,noun
musk-scented,2,random,adjective
moon-round,2,random,adjective
substandard,1,random,adjective
Kandahar,4,random,noun
exerciser,3,random,noun
caducous,1,random,adjective
household appliance,4,random,noun
office block,1,random,noun
osmiridium,3,random,noun
spandex,2,random,noun
nitpicker,2,random,noun
Paul John Flory,2,random,noun
keen,4,random,verb
quadratic equation,1,random,noun
genus Carduus,1,random,noun
driftwood,2,random,noun
spurious wing,3,random,noun
Lycopodiaceae,1,random,noun
Star Chamber,2,random,noun
teacher,3,random,noun
services,3,random,noun
ane,1,random,adjective
Sylvian aqueduct,3,random,noun
recovering,2,random,adjective
Adapid,1,random,noun
automatic,1,random,noun
isoagglutination,1,random,noun
reappraise,1,random,verb
bodice ripper,4,random,noun
Kepler's law of planetary motion,2,random,noun
sudation,3,random,noun
Jerez de la Frontera,2,random,noun
Sam Houston,1,random,noun
pragmatic,1,random,noun
can,2,random,noun
barbette,3,random,noun
unattainably,4,random,adverb
Gambusia affinis,1,random,noun
Scomberomorus cavalla,1,random,noun
miasmic,1,random,adjective
Microsorium punctatum,1,random,noun
snuff-colour,1,random,noun
unkindness,1,random,noun
ribbon snake,1,random,noun
glance over,2,random,verb
shamble,4,random,verb
eudaemonic,4,random,adjective
sentient,2,random,adjective
Juniperus virginiana,1,random,noun
row of bricks,2,random,noun
easygoingness,1,random,noun
Saratoga Springs,3,random,noun
thieve,4,random,verb
genus Trichodesmium,4,random,noun
affective,3,random,adjective
Glenn,3,random,noun
musical score,4,random,noun
comfort zone,4,random,noun
Athyrium pycnocarpon,2,random,noun
flushed,3,random,adjective
sodium hydroxide,4,random,noun
genus Necturus,2,random,noun
Kalon Tripa,1,random,noun
feature,1,random,noun
wont,1,random,noun
red haw,3,random,noun
sourwood,1,random,noun
waggle,1,random,verb
seasonal adjustment,1,random,noun
incident,2,random,adjective
root,3,random,noun
god-fearing,1,random,adjective
perfumed,4,random,adjective
genus Atrichornis,4,random,noun
Geranium pratense,3,random,noun
Oregonian,3,random,noun
sword of Damocles,4,random,noun
paralysis,3,random,noun
football helmet,4,random,noun
rankness,3,random,noun
suspiration,1,random,noun
pip,4,random,verb
exciseman,3,random,noun
coughing,2,random,noun
breast-deep,4,random,adverb
top hat,3,random,noun
Anogramma,3,random,noun
promptbook,2,random,noun
Bela Lugosi,3,random,noun
indefatigably,4,random,adverb
covered smut,2,random,noun
swear,1,random,verb
3-hitter,1,random,noun
topical anaesthesia,1,random,noun
George Wells Beadle,1,random,noun
overclothes,1,random,noun
land up,4,random,verb
luck out,2,random,verb
immaturity,3,random,noun
Louis the German,2,random,noun
sidle up,3,random,verb
contradance,4,random,noun
pistillate,1,random,adjective
Boston rocker,2,random,noun
aphanitic,3,random,adjective
electoral,2,random,adjective
cape jessamine,4,random,noun
Arnoseris,4,random,noun
genus Gomphrena,3,random,noun
invention,4,random,noun
respecter,1,random,noun
cockamamie,2,random,adjective
Pegasus,2,random,noun
Scheldt River,3,random,noun
magnoliopsid family,2,random,noun
Vitus,3,random,noun
Bering Standard Time,2,random,noun
nosebag,2,random,noun
Bayt Lahm,1,random,noun
speed indicator,2,random,noun
rissole,1,random,noun
hyperglycemia,2,random,noun
Cyprinus,4,random,noun
clawhammer,1,random,noun
Yom Kippur,3,random,noun
Centropristis philadelphica,3,random,noun
grey-pink,3,random,adjective
capital of Nebraska,2,random,noun
participate,1,random,verb
sculler,4,random,noun
totara,4,random,noun
sage brush,1,random,noun
grace note,3,random,noun
blank verse,1,random,noun
political sympathies,2,random,noun
eater,2,random,noun
bearer bond,1,random,noun
Goldwyn,3,random,noun
Philip V,3,random,noun
thirty-two,3,random,adjective
atomic number 64,4,random,noun
Didelphis,1,random,noun
Van Allen belt,2,random,noun
notch,2,random,verb
nicker,2,random,noun
Wolverine State,4,random,noun
horseback riding,1,random,noun
venture capitalist,4,random,noun
hide and go seek,1,random,noun
thermosetting compositions,2,random,noun
dry unit,1,random,noun
railroad engineer,1,random,noun
many-sided,2,random,adjective
staff vine,3,random,noun
genus Noctua,3,random,noun
Jakob Liebmann Beer,4,random,noun
worrisome,1,random,adjective
Swiss,2,random,noun
hygrophytic,4,random,adjective
Havana,3,random,noun
Sabbatarian,2,random,adjective
full cousin,1,random,noun
acidic hydrogen,1,random,noun
Plethodon,4,random,noun
knockoff,2,random,noun
bodily,1,random,adverb
karyotype,3,random,noun
golf bag,3,random,noun
Halenia,2,random,noun
pan roast,3,random,verb
mashie,1,random,noun
Slovakian monetary unit,4,random,noun
antithetic,3,random,adjective
sneer,3,random,noun
olibanum,3,random,noun
de facto,4,random,adverb
callosotomy,1,random,noun
Anapurna,2,random,noun
Scophthalmus rhombus,3,random,noun
Tanacetum douglasii,3,random,noun
genus Calypso,2,random,noun
ebony,1,random,noun
bay,3,random,adjective
cant dog,1,random,noun
primum mobile,4,random,noun
longan,4,random,noun
undercover work,2,random,noun
sweetness and light,2,random,noun
chicha,4,random,noun
endarterectomy,1,random,noun
American badger,3,random,noun
waste basket,4,random,noun
scratch paper,2,random,noun
ratatouille,1,random,noun
casket,3,random,verb
PO Box No,3,random,noun
horse pistol,1,random,noun
bran-new,1,random,adjective
civic pride,2,random,noun
carting,1,random,noun
off,4,random,adjective
Nothosauria,1,random,noun
three-way calling,3,random,noun
flighty,4,random,adjective
jeweler's loupe,4,random,noun
Sabahan,2,random,adjective
frowzy,4,random,adjective
overutilization,3,random,noun
blae,3,random,adjective
genus Gypaetus,2,random,noun
inattentiveness,1,random,noun
peritrichous,2,random,adjective
genus Desmidium,4,random,noun
Acer campestre,2,random,noun
dogwood tree,4,random,noun
wall tent,3,random,noun
Euphorbia lathyris,1,random,noun
fire-wheel,1,random,noun
Passover supper,4,random,noun
feculence,2,random,noun
contretemps,3,random,noun
order Laminariales,3,random,noun
bent on,4,random,adjective
Benjamin Franklin Norris Jr.,4,random,noun
Malaxis,1,random,noun
consequential,1,random,adjective
biometric identification,1,random,noun
frame,1,random,verb
animadvert,4,random,verb
wild clary,2,random,noun
Olmsted,2,random,noun
geodesical,2,random,adjective
Great Russian,2,random,noun
profoundly,1,random,adverb
XXVI,1,random,noun
oxaloacetic acid,3,random,noun
confident,2,random,adjective
aquicultural,4,random,adjective
governance,2,random,noun
Texas chachalaca,3,random,noun
debilitative,3,random,adjective
mismarry,3,random,verb
Phalaris tuberosa,4,random,noun
bush,2,random,adjective
ergometer,2,random,noun
unimpeded,3,random,adjective
family Nitrobacteriaceae,4,random,noun
Nostradamus,4,random,noun
rhabdomancer,4,random,noun
cover letter,2,random,noun
Fomor,3,random,noun
Physostegia virginiana,3,random,noun
nettleleaf goosefoot,2,random,noun
Canopus,3,random,noun
Hypsiprymnodon,4,random,noun
unsavoriness,3,random,noun
hinderingly,2,random,adverb
genus Acinonyx,3,random,noun
default,1,random,verb
bush pea,1,random,noun
red-shafted flicker,3,random,noun
cool it,3,random,verb
octuple,1,random,adjective
genus Mirabilis,1,random,noun
empathic,4,random,adjective
decrypt,3,random,verb
impersonal,2,random,adjective
Galileo,3,random,noun
retard,2,random,verb
nightbird,4,random,noun
arctangent,1,random,noun
Edward Calvin Kendall,2,random,noun
porcine,4,random,adjective
electronics intelligence,1,random,noun
1728,2,random,noun
daybreak,2,random,noun
packet,2,random,noun
fleet,2,random,verb
sacrosanct,1,random,adjective
herbal,3,random,noun
shriek,1,random,verb
genus Choloepus,3,random,noun
Conyza,2,random,noun
outward,2,random,adjective
thermal,1,random,adjective
John Tyndall,1,random,noun
Vinylite,4,random,noun
wood meadowgrass,1,random,noun
order of payment,2,random,noun
autotroph,3,random,noun
burster,1,random,noun
emphatically,3,random,adverb
algolagnic,3,random,adjective
ball-buster,2,random,noun
tortellini,2,random,noun
